"","count","rowname_norwegian","type","circ_norwegian"
"mitigating_tilståelse",2787,"mitigating_tilståelse","mitigating","tilståelse"
"aggravating_andre omstendigheter",1889,"aggravating_andre omstendigheter","aggravating","andre omstendigheter"
"aggravating_tidligere straffet for lignende",1250,"aggravating_tidligere straffet for lignende","aggravating","tidligere straffet for lignende"
"aggravating_kjøring under ruspåvirkning",936,"aggravating_kjøring under ruspåvirkning","aggravating","kjøring under ruspåvirkning"
"mitigating_lang saksbehandlingstid",899,"mitigating_lang saksbehandlingstid","mitigating","lang saksbehandlingstid"
"aggravating_gjentatte lovbrudd",790,"aggravating_gjentatte lovbrudd","aggravating","gjentatte lovbrudd"
"mitigating_lang liggetid",763,"mitigating_lang liggetid","mitigating","lang liggetid"
"mitigating_saken har blitt gammel",720,"mitigating_saken har blitt gammel","mitigating","saken har blitt gammel"
"aggravating_kjøring uten førerkort",601,"aggravating_kjøring uten førerkort","aggravating","kjøring uten førerkort"
"aggravating_alvorlig fare for liv og helse",453,"aggravating_alvorlig fare for liv og helse","aggravating","alvorlig fare for liv og helse"
"aggravating_forårsaket betydelig smerte",371,"aggravating_forårsaket betydelig smerte","aggravating","forårsaket betydelig smerte"
"mitigating_andre omstendigheter",325,"mitigating_andre omstendigheter","mitigating","andre omstendigheter"
"aggravating_sårbart offer",313,"aggravating_sårbart offer","aggravating","sårbart offer"
"aggravating_trusler",313,"aggravating_trusler","aggravating","trusler"
"aggravating_innbrudd på privatbolig",245,"aggravating_innbrudd på privatbolig","aggravating","innbrudd på privatbolig"
"aggravating_uprovosert",231,"aggravating_uprovosert","aggravating","uprovosert"
"aggravating_ny forbrytelse kort tid etter løslatelse",223,"aggravating_ny forbrytelse kort tid etter løslatelse","aggravating","ny forbrytelse kort tid etter løslatelse"
"aggravating_generelle forebyggende hensyn",220,"aggravating_generelle forebyggende hensyn","aggravating","generelle forebyggende hensyn"
"aggravating_begått av flere personer",218,"aggravating_begått av flere personer","aggravating","begått av flere personer"
"aggravating_risiko for liv eller helse",208,"aggravating_risiko for liv eller helse","aggravating","risiko for liv eller helse"
"aggravating_begått på offentlig sted",206,"aggravating_begått på offentlig sted","aggravating","begått på offentlig sted"
"aggravating_vold mot offentlig tjenestemann",196,"aggravating_vold mot offentlig tjenestemann","aggravating","vold mot offentlig tjenestemann"
"aggravating_flere straffbare forhold",191,"aggravating_flere straffbare forhold","aggravating","flere straffbare forhold"
"aggravating_barn til stede",189,"aggravating_barn til stede","aggravating","barn til stede"
"aggravating_barn involvert",185,"aggravating_barn involvert","aggravating","barn involvert"
"aggravating_vold i nære relasjoner",184,"aggravating_vold i nære relasjoner","aggravating","vold i nære relasjoner"
"aggravating_betydelig mengde narkotika",168,"aggravating_betydelig mengde narkotika","aggravating","betydelig mengde narkotika"
"aggravating_bruk av narkotika",166,"aggravating_bruk av narkotika","aggravating","bruk av narkotika"
"aggravating_mangel på respekt",163,"aggravating_mangel på respekt","aggravating","mangel på respekt"
"mitigating_anger",162,"mitigating_anger","mitigating","anger"
"aggravating_andre lovbrudd",154,"aggravating_andre lovbrudd","aggravating","andre lovbrudd"
"mitigating_personlige utfordringer",149,"mitigating_personlige utfordringer","mitigating","personlige utfordringer"
"mitigating_personlige helseproblemer",148,"mitigating_personlige helseproblemer","mitigating","personlige helseproblemer"
"aggravating_uaktsom kjøring",144,"aggravating_uaktsom kjøring","aggravating","uaktsom kjøring"
"aggravating_varighet",142,"aggravating_varighet","aggravating","varighet"
"mitigating_offeret har delvis skyld",138,"mitigating_offeret har delvis skyld","mitigating","offeret har delvis skyld"
"aggravating_forsvarsløst offer",122,"aggravating_forsvarsløst offer","aggravating","forsvarsløst offer"
"aggravating_trusler mot offentlig tjenestemann",119,"aggravating_trusler mot offentlig tjenestemann","aggravating","trusler mot offentlig tjenestemann"
"aggravating_brudd på besøksforbud",117,"aggravating_brudd på besøksforbud","aggravating","brudd på besøksforbud"
"aggravating_systematisk utnyttelse",117,"aggravating_systematisk utnyttelse","aggravating","systematisk utnyttelse"
"mitigating_av liten betydning gitt omstendighetene",115,"mitigating_av liten betydning gitt omstendighetene","mitigating","av liten betydning gitt omstendighetene"
"aggravating_besittelse av farlige gjenstander",114,"aggravating_besittelse av farlige gjenstander","aggravating","besittelse av farlige gjenstander"
"aggravating_drapstrusler",107,"aggravating_drapstrusler","aggravating","drapstrusler"
"aggravating_vold på offentlig sted",98,"aggravating_vold på offentlig sted","aggravating","vold på offentlig sted"
"aggravating_hærverk",91,"aggravating_hærverk","aggravating","hærverk"
"mitigating_berettiget sinne",89,"mitigating_berettiget sinne","mitigating","berettiget sinne"
"mitigating_god mulighet for rehabilitering",89,"mitigating_god mulighet for rehabilitering","mitigating","god mulighet for rehabilitering"
"aggravating_særlig farlig",85,"aggravating_særlig farlig","aggravating","særlig farlig"
"aggravating_personlig vinning",85,"aggravating_personlig vinning","aggravating","personlig vinning"
"mitigating_begrenset mental kapasitet",71,"mitigating_begrenset mental kapasitet","mitigating","begrenset mental kapasitet"
"aggravating_salg av ulovlige produkter",70,"aggravating_salg av ulovlige produkter","aggravating","salg av ulovlige produkter"
"mitigating_ingen tidligere domfellelser",69,"mitigating_ingen tidligere domfellelser","mitigating","ingen tidligere domfellelser"
"mitigating_ung alder",64,"mitigating_ung alder","mitigating","ung alder"
"mitigating_rus",63,"mitigating_rus","mitigating","rus"
"aggravating_besittelse av ulovlige gjenstander",56,"aggravating_besittelse av ulovlige gjenstander","aggravating","besittelse av ulovlige gjenstander"
"mitigating_begrenset skade",55,"mitigating_begrenset skade","mitigating","begrenset skade"
"aggravating_lettere straff bot",54,"aggravating_lettere straff bot","aggravating","lettere straff bot"
"aggravating_misbruk",53,"aggravating_misbruk","aggravating","misbruk"
"aggravating_uaktsom oppførsel",47,"aggravating_uaktsom oppførsel","aggravating","uaktsom oppførsel"
"aggravating_planlagt ran",42,"aggravating_planlagt ran","aggravating","planlagt ran"
"aggravating_brudd på straffeloven",42,"aggravating_brudd på straffeloven","aggravating","brudd på straffeloven"
"aggravating_trygdesvindel",41,"aggravating_trygdesvindel","aggravating","trygdesvindel"
"mitigating_straffen sonet i varetekt",41,"mitigating_straffen sonet i varetekt","mitigating","straffen sonet i varetekt"
"aggravating_organisert kriminell organisasjon",38,"aggravating_organisert kriminell organisasjon","aggravating","organisert kriminell organisasjon"
"aggravating_påvirket av narkotika",38,"aggravating_påvirket av narkotika","aggravating","påvirket av narkotika"
"aggravating_ikke innrømmet noen forseelse",37,"aggravating_ikke innrømmet noen forseelse","aggravating","ikke innrømmet noen forseelse"
"mitigating_mindreårig gjerningsperson",37,"mitigating_mindreårig gjerningsperson","mitigating","mindreårig gjerningsperson"
"aggravating_profesjonelt kriminelt nettverk",36,"aggravating_profesjonelt kriminelt nettverk","aggravating","profesjonelt kriminelt nettverk"
"mitigating_omsorg for barn",36,"mitigating_omsorg for barn","mitigating","omsorg for barn"
"aggravating_voldtekt",35,"aggravating_voldtekt","aggravating","voldtekt"
"mitigating_straffen vil være en spesielt høy byrde",32,"mitigating_straffen vil være en spesielt høy byrde","mitigating","straffen vil være en spesielt høy byrde"
"aggravating_planlagt",31,"aggravating_planlagt","aggravating","planlagt"
"aggravating_psykisk vold",29,"aggravating_psykisk vold","aggravating","psykisk vold"
"aggravating_kumulative lovbrudd",29,"aggravating_kumulative lovbrudd","aggravating","kumulative lovbrudd"
"aggravating_vold",29,"aggravating_vold","aggravating","vold"
"mitigating_flere formildende omstendigheter",29,"mitigating_flere formildende omstendigheter","mitigating","flere formildende omstendigheter"
"aggravating_kjøring på offentlig sted",28,"aggravating_kjøring på offentlig sted","aggravating","kjøring på offentlig sted"
"aggravating_forulemping av offentlig tjenestemann",28,"aggravating_forulemping av offentlig tjenestemann","aggravating","forulemping av offentlig tjenestemann"
"aggravating_brudd på prøveløslatelse",27,"aggravating_brudd på prøveløslatelse","aggravating","brudd på prøveløslatelse"
"aggravating_passasjer i bilen",27,"aggravating_passasjer i bilen","aggravating","passasjer i bilen"
"aggravating_hvitvasking av penger",26,"aggravating_hvitvasking av penger","aggravating","hvitvasking av penger"
"mitigating_delvis tilståelse",26,"mitigating_delvis tilståelse","mitigating","delvis tilståelse"
"aggravating_hatforbrytelse",24,"aggravating_hatforbrytelse","aggravating","hatforbrytelse"
"aggravating_bæring av kniv på offentlig sted",23,"aggravating_bæring av kniv på offentlig sted","aggravating","bæring av kniv på offentlig sted"
"aggravating_kriminalitet under prøveløslatelse",23,"aggravating_kriminalitet under prøveløslatelse","aggravating","kriminalitet under prøveløslatelse"
"aggravating_ordensforstyrrelse",21,"aggravating_ordensforstyrrelse","aggravating","ordensforstyrrelse"
"aggravating_frihetsberøvelse",20,"aggravating_frihetsberøvelse","aggravating","frihetsberøvelse"
"mitigating_under minstestraff",20,"mitigating_under minstestraff","mitigating","under minstestraff"
"mitigating_selvforsvar",20,"mitigating_selvforsvar","mitigating","selvforsvar"
"aggravating_plan for fremtidige forbrytelser",19,"aggravating_plan for fremtidige forbrytelser","aggravating","plan for fremtidige forbrytelser"
"mitigating_handlet på grunn av avhengighet",19,"mitigating_handlet på grunn av avhengighet","mitigating","handlet på grunn av avhengighet"
"mitigating_personlige utfordinger",18,"mitigating_personlige utfordinger","mitigating","personlige utfordinger"
"aggravating_bruk av kniv",16,"aggravating_bruk av kniv","aggravating","bruk av kniv"
"aggravating_trakassering av offentlig tjenestemann",15,"aggravating_trakassering av offentlig tjenestemann","aggravating","trakassering av offentlig tjenestemann"
"aggravating_besittelse av narkotika",14,"aggravating_besittelse av narkotika","aggravating","besittelse av narkotika"
"aggravating_vold i et forhold",14,"aggravating_vold i et forhold","aggravating","vold i et forhold"
"aggravating_heleri",14,"aggravating_heleri","aggravating","heleri"
"aggravating_forsøk på bedrageri",14,"aggravating_forsøk på bedrageri","aggravating","forsøk på bedrageri"
"mitigating_uvitende uaktsomhet",14,"mitigating_uvitende uaktsomhet","mitigating","uvitende uaktsomhet"
"aggravating_skadeverk",13,"aggravating_skadeverk","aggravating","skadeverk"
"aggravating_tyveri",13,"aggravating_tyveri","aggravating","tyveri"
"aggravating_bruk av farlige gjenstander",13,"aggravating_bruk av farlige gjenstander","aggravating","bruk av farlige gjenstander"
"aggravating_allmennpreventive hensyn",13,"aggravating_allmennpreventive hensyn","aggravating","allmennpreventive hensyn"
"aggravating_aldersforskjell",13,"aggravating_aldersforskjell","aggravating","aldersforskjell"
"aggravating_hensynsløs atferd",12,"aggravating_hensynsløs atferd","aggravating","hensynsløs atferd"
"aggravating_tillitsbrudd",12,"aggravating_tillitsbrudd","aggravating","tillitsbrudd"
"aggravating_betydelig beløp",12,"aggravating_betydelig beløp","aggravating","betydelig beløp"
"mitigating_erkjennelse",12,"mitigating_erkjennelse","mitigating","erkjennelse"
"aggravating_bedrageri",11,"aggravating_bedrageri","aggravating","bedrageri"
"aggravating_fartsovertredelse",11,"aggravating_fartsovertredelse","aggravating","fartsovertredelse"
"aggravating_spredningsfare",11,"aggravating_spredningsfare","aggravating","spredningsfare"
"aggravating_ran",10,"aggravating_ran","aggravating","ran"
"aggravating_trafikkuhell",10,"aggravating_trafikkuhell","aggravating","trafikkuhell"
"aggravating_særlig grov",10,"aggravating_særlig grov","aggravating","særlig grov"
"aggravating_lettere straff ubetinget fengsel",10,"aggravating_lettere straff ubetinget fengsel","aggravating","lettere straff ubetinget fengsel"
"aggravating_høy promille",9,"aggravating_høy promille","aggravating","høy promille"
"aggravating_kroppskrenkelse",9,"aggravating_kroppskrenkelse","aggravating","kroppskrenkelse"
"aggravating_brudd på våpenloven",9,"aggravating_brudd på våpenloven","aggravating","brudd på våpenloven"
"aggravating_betydelige trafikkuhell",9,"aggravating_betydelige trafikkuhell","aggravating","betydelige trafikkuhell"
"aggravating_dokumentfalsk",9,"aggravating_dokumentfalsk","aggravating","dokumentfalsk"
"aggravating_vold mot forsvarsløst offer",8,"aggravating_vold mot forsvarsløst offer","aggravating","vold mot forsvarsløst offer"
"aggravating_fare for liv eller helse",8,"aggravating_fare for liv eller helse","aggravating","fare for liv eller helse"
"aggravating_betydelig skadepotensial",8,"aggravating_betydelig skadepotensial","aggravating","betydelig skadepotensial"
"aggravating_bevæpnet for konfrontasjon",8,"aggravating_bevæpnet for konfrontasjon","aggravating","bevæpnet for konfrontasjon"
"aggravating_brudd på identifikasjonsplikten",8,"aggravating_brudd på identifikasjonsplikten","aggravating","brudd på identifikasjonsplikten"
"aggravating_lettere straff betinget fengsel",8,"aggravating_lettere straff betinget fengsel","aggravating","lettere straff betinget fengsel"
"aggravating_forsikringsbedrageri",8,"aggravating_forsikringsbedrageri","aggravating","forsikringsbedrageri"
"mitigating_grov uaktsomhet",8,"mitigating_grov uaktsomhet","mitigating","grov uaktsomhet"
"mitigating_tvang",8,"mitigating_tvang","mitigating","tvang"
"aggravating_forårsaket en annens død",7,"aggravating_forårsaket en annens død","aggravating","forårsaket en annens død"
"aggravating_mishandling",7,"aggravating_mishandling","aggravating","mishandling"
"aggravating_grov vold",7,"aggravating_grov vold","aggravating","grov vold"
"aggravating_høy fart",7,"aggravating_høy fart","aggravating","høy fart"
"aggravating_alvorlige trusler",7,"aggravating_alvorlige trusler","aggravating","alvorlige trusler"
"aggravating_bedragerier",7,"aggravating_bedragerier","aggravating","bedragerier"
"mitigating_bidrag til oppklaring",7,"mitigating_bidrag til oppklaring","mitigating","bidrag til oppklaring"
"mitigating_tilbakebetaling",7,"mitigating_tilbakebetaling","mitigating","tilbakebetaling"
"aggravating_særdeles skjerpende omstendigheter",6,"aggravating_særdeles skjerpende omstendigheter","aggravating","særdeles skjerpende omstendigheter"
"aggravating_høy påvirkningsgrad",6,"aggravating_høy påvirkningsgrad","aggravating","høy påvirkningsgrad"
"aggravating_passasjer",6,"aggravating_passasjer","aggravating","passasjer"
"aggravating_bøteforhold",6,"aggravating_bøteforhold","aggravating","bøteforhold"
"aggravating_stort skadepotensial",6,"aggravating_stort skadepotensial","aggravating","stort skadepotensial"
"aggravating_betydelig trafikkuhell",6,"aggravating_betydelig trafikkuhell","aggravating","betydelig trafikkuhell"
"aggravating_medvirkning til salg av narkotika",6,"aggravating_medvirkning til salg av narkotika","aggravating","medvirkning til salg av narkotika"
"aggravating_hovedorganisator av narkotikasalget",6,"aggravating_hovedorganisator av narkotikasalget","aggravating","hovedorganisator av narkotikasalget"
"aggravating_bruk av mobiltelefon under kjøring",6,"aggravating_bruk av mobiltelefon under kjøring","aggravating","bruk av mobiltelefon under kjøring"
"aggravating_høy hastighet",6,"aggravating_høy hastighet","aggravating","høy hastighet"
"aggravating_stort omfang",6,"aggravating_stort omfang","aggravating","stort omfang"
"aggravating_regnskapsovertredelser",6,"aggravating_regnskapsovertredelser","aggravating","regnskapsovertredelser"
"aggravating_voldsutøvelse",6,"aggravating_voldsutøvelse","aggravating","voldsutøvelse"
"aggravating_kjøring over meget lange strekninger",6,"aggravating_kjøring over meget lange strekninger","aggravating","kjøring over meget lange strekninger"
"aggravating_bakmannsrolle i narkotikainnførsel",6,"aggravating_bakmannsrolle i narkotikainnførsel","aggravating","bakmannsrolle i narkotikainnførsel"
"mitigating_sårbar gjerningsperson",6,"mitigating_sårbar gjerningsperson","mitigating","sårbar gjerningsperson"
"mitigating_personlige forhold",6,"mitigating_personlige forhold","mitigating","personlige forhold"
"aggravating_bilbrukstyveri",5,"aggravating_bilbrukstyveri","aggravating","bilbrukstyveri"
"aggravating_gjentatte overgrep",5,"aggravating_gjentatte overgrep","aggravating","gjentatte overgrep"
"aggravating_brudd på viltloven",5,"aggravating_brudd på viltloven","aggravating","brudd på viltloven"
"aggravating_oppbevaring av narkotika",5,"aggravating_oppbevaring av narkotika","aggravating","oppbevaring av narkotika"
"aggravating_narkotikaovertredelser",5,"aggravating_narkotikaovertredelser","aggravating","narkotikaovertredelser"
"aggravating_bruk av vold",5,"aggravating_bruk av vold","aggravating","bruk av vold"
"aggravating_deling av overgrepsmateriale",5,"aggravating_deling av overgrepsmateriale","aggravating","deling av overgrepsmateriale"
"aggravating_blandingsrus",5,"aggravating_blandingsrus","aggravating","blandingsrus"
"aggravating_ran på offentlig sted",5,"aggravating_ran på offentlig sted","aggravating","ran på offentlig sted"
